,Address,Baths,Beds,Cost,"Sq,Ft",Sq.Ft,Status
206,"Lot #0070, Canyon Oaks, Chatsworth, CA", 5 ba ,4 bds ,"$1,474,995+",," 5,205 sqft",New Construction
207,"4228 Sunnyslope Ave, Sherman Oaks, CA", 2 ba ,2 bds ,"$739,000",," 1,015 sqft",House For Sale
208,"2825 Gay St, Los Angeles, CA", 2 ba ,2 bds ,"$674,500",," 1,232 sqft",Foreclosure
209,"11542 Burbank Blvd UNIT 2, North Hollywood, CA", 3 ba ,2 bds ,"$448,000",," 1,222 sqft",Townhouse For Sale
210,"Coming Soon Plan, Bristol at Northpointe", -- ba ,-- bds ,,, -- sqft,New Construction
211,"1308 W 56th St, Los Angeles, CA", 1 ba ,2 bds ,"$325,000",, 957 sqft,House For Sale
212,"3100 Eva Ter, Los Angeles, CA", 3 ba ,5 bds ,"$659,888",," 2,300 sqft",House For Sale
213,"2207 Mantis Ave, San Pedro, CA", 1 ba ,3 bds ,"$759,000",," 1,233 sqft",House For Sale
214,"969 Hilgard Ave APT 1007, Los Angeles, CA", 1 ba ,2 bds ,"$699,000",, 958 sqft,Condo For Sale
215,"13035 Otsego St, Sherman Oaks, CA", 5 ba ,5 bds ,"$1,945,000",," 2,922 sqft",House For Sale
216,"7060 Shoup Ave UNIT 195, Canoga Park, CA", 1 ba ,,"$236,700",, 783 sqft,Foreclosure
217,"11233 Borden Ave APT 3, Pacoima, CA", 3 ba ,4 bds ,"$390,000",," 1,497 sqft",Townhouse For Sale
218,"19509 Saticoy St, Reseda, CA", 3 ba ,4 bds ,"$488,300",," 1,904 sqft",Foreclosure
219,"10666 Wellworth Ave, Los Angeles, CA", 3 ba ,3 bds ,"$1,749,000",," 2,443 sqft",House For Sale
220,"12216 Shetland Ln, Los Angeles, CA", 3 ba ,2 bds ,"$2,995,000",," 2,150 sqft",House For Sale
221,"8505 Columbus Ave UNIT 212, North Hills, CA", 2 ba ,2 bds ,"$209,000",, 814 sqft,Condo For Sale
222,"6525 La Mirada Ave APT 112, Los Angeles, CA", 2 ba ,2 bds ,"$599,000",," 1,150 sqft",Condo For Sale
223,"11812 Gorham Ave APT 303, Los Angeles, CA", 2 ba ,3 bds ,"$975,000",," 1,452 sqft",Condo For Sale
224,"8216 Zitola Ter, Playa Del Rey, CA", 2 ba ,4 bds ,"$1,495,000",," 2,241 sqft",Coming Soon
225,"241 S Avenue 57, Los Angeles, CA", 1.5 ba ,2 bds ,"$395,000",, 927 sqft,Townhouse For Sale
226,"1604 Sunset Plaza Dr, Los Angeles, CA", 5 ba ,4 bds ,"$3,585,000",," 3,304 sqft",House For Sale
227,"5476 Dobbs St APT 92, Los Angeles, CA", 2 ba ,2 bds ,"$299,000",, 813 sqft,Condo For Sale
228,"750 N Kings Rd APT 122, Los Angeles, CA", 1 ba ,,"$415,000",, 664 sqft,Condo For Sale
229,"222 Hamlet St, Los Angeles, CA", 2 ba ,3 bds ,"$695,000",," 1,456 sqft",House For Sale
230,"8601 International Ave UNIT 117, Canoga Park, CA", 1 ba ,2 bds ,"$199,900",, 826 sqft,Condo For Sale
231,"Plan 3 Plan, Pacific Bougainvillea", 3 ba ,4 bds ,"$797,990+",," 2,271+ sqft",New Construction
232,"8851 Menlo Ave # 8853, Los Angeles, CA", -- ba ,-- bds ,,, -- sqft,Auction
233,"7063 Alcove Ave, North Hollywood, CA", 2 ba ,3 bds ,"$599,000",," 1,292 sqft",House For Sale
234,"11909 Belhaven St, Los Angeles, CA", 2 ba ,3 bds ,"$389,900",," 1,073 sqft",House For Sale
235,"1301 W Capitol Dr UNIT 132, San Pedro, CA", 2 ba ,2 bds ,"$369,000",, 961 sqft,Condo For Sale
236,"7110 Hillrose St, Tujunga, CA", 1 ba ,2 bds ,"$399,900",, 742 sqft,House For Sale
237,"4016 W 62nd St, Los Angeles, CA", 2 ba ,3 bds ,"$750,000",," 1,568 sqft",House For Sale
238,"4418 Bellflower Ave, North Hollywood, CA", 2 ba ,2 bds ,"$799,999",," 1,234 sqft",House For Sale
239,"2094 Kenilworth Ave, Los Angeles, CA", 3 ba ,3 bds ,"$1,500,000",," 2,802 sqft",House For Sale
240,"Lot #0043, Canyon Oaks, Chatsworth, CA", 5 ba ,4 bds ,"$1,669,995+",," 5,483 sqft",New Construction
241,"7732 Shoup Ave, Canoga Park, CA", 2 ba ,4 bds ,"$499,500",," 1,570 sqft",House For Sale
242,"1130 S Flower St APT 310, Los Angeles, CA", 2 ba ,,"$649,000",," 1,258 sqft",Condo For Sale
243,"20218 Via Medici, Northridge, CA", 5 ba ,5 bds ,"$1,299,000",," 4,213 sqft",House For Sale
244,"4014 Van Noord Ave, North Hollywood, CA", 6 ba ,5 bds ,"$3,199,000",," 4,790 sqft",New Construction
245,"8330 Jayseel St, Sunland, CA", 1 ba ,3 bds ,"$495,000",," 1,008 sqft",House For Sale
246,"3965 Moore St APT 104, Los Angeles, CA", 2 ba ,2 bds ,"$929,000",," 1,570 sqft",Townhouse For Sale
247,"7001 S La Cienega Blvd APT 306, Los Angeles, CA", 2 ba ,2 bds ,"$439,999",, 990 sqft,Condo For Sale
248,"20763 Dolorosa St, Woodland Hills, CA", 3 ba ,4 bds ,"$795,000",," 2,332 sqft",House For Sale
249,"6121 Cimarron St, Los Angeles, CA", 2 ba ,3 bds ,"$450,000",," 1,294 sqft",House For Sale
250,"6121 Cimarron St, Los Angeles, CA", 2 ba ,3 bds ,"$450,000",," 1,294 sqft",House For Sale
251,"3833 Vinton Ave, Culver City, CA", 1 ba ,2 bds ,"$995,000",," 1,403 sqft",Apartment For Sale
252,"4133 Kraft Ave, Studio City, CA", 3 ba ,4 bds ,"$1,599,000",," 2,399 sqft",House For Sale
253,"1421 E 50th St, Los Angeles, CA", 4 ba ,8 bds ,$605K,," 4,984 sqft",Auction
254,"15837 Royal Oak Rd, Encino, CA", 5 ba ,4 bds ,"$4,250,000",," 4,332 sqft",House For Sale
255,"336 Via De La Paz, Pacific Palisades, CA", 5 ba ,5 bds ,"$4,995,000",," 3,537 sqft",House For Sale
256,"13700 Marina Pointe Dr UNIT 421, Marina Del Rey, CA", 1 ba ,,"$585,000",, 859 sqft,Condo For Sale
257,"3529 Caribeth Dr, Encino, CA", 6 ba ,5 bds ,"$2,800,000",," 10,018 sqft",House For Sale
258,"10709 Crockett St, Sun Valley, CA", 2 ba ,5 bds ,"$599,999",," 2,670 sqft",House For Sale
259,"10652 Bloomfield St APT 1, North Hollywood, CA", 4 ba ,3 bds ,"$649,900",," 1,540 sqft",Condo For Sale
260,"10556 Bianca Ave, Granada Hills, CA", 4 ba ,6 bds ,"$789,000",," 2,989 sqft",House For Sale
261,"122 N Clark Dr APT 401, West Hollywood, CA", 2.5 ba ,2 bds ,"$1,199,000",," 1,516 sqft",Condo For Sale
262,"22100 Burbank Blvd UNIT 127C, Woodland Hills, CA", 2 ba ,2 bds ,"$330,000",, 883 sqft,Condo For Sale
263,"12920 Runway Rd UNIT 210, Playa Vista, CA", 2 ba ,3 bds ,"$1,200,000",," 1,500 sqft",Condo For Sale
264,"3914 Somerset Dr, Los Angeles, CA", 2 ba ,4 bds ,"$775,000",," 1,681 sqft",House For Sale
265,"5875 W 77th Pl, Los Angeles, CA", 2 ba ,3 bds ,"$1,195,000",," 1,726 sqft",House For Sale
266,"2222 Avenue Of The Stars APT 2402E, Los Angeles, CA", 2 ba ,2 bds ,"$1,649,000",," 1,639 sqft",Condo For Sale
267,"16725 Oak View Dr, Encino, CA", 2 ba ,3 bds ,"$1,249,000",," 1,917 sqft",House For Sale
268,"4415 Dawes Ave, Culver City, CA", 2 ba ,3 bds ,"$1,069,000",," 1,418 sqft",House For Sale
269,"800 Brooktree Rd, Pacific Palisades, CA", 4 ba ,4 bds ,"$7,500,000",," 3,198 sqft",House For Sale
270,"1710 Stearns Dr, Los Angeles, CA", 1 ba ,2 bds ,"$895,000",," 1,482 sqft",House For Sale
271,"18140 Oxnard St UNIT 63, Tarzana, CA", 3 ba ,2 bds ,"$495,000",," 1,562 sqft",Townhouse For Sale
272,"9324 Warbler Way, Los Angeles, CA", 2 ba ,2 bds ,"$2,250,000",, -- sqft,House For Sale
273,"5438 West Blvd, Los Angeles, CA", 2 ba ,3 bds ,"$699,000",," 1,332 sqft",House For Sale
