,Address,Baths,Beds,Cost,"Sq,Ft",Sq.Ft,Status
55,"22301 Cass Ave, Woodland Hills, CA", 4 ba ,4 bds ,"$815,000",," 2,288 sqft",House For Sale
56,"3238 Canyon Lake Dr, Los Angeles, CA", 5 ba ,4 bds ,"$3,395,000",," 3,600 sqft",House For Sale
57,"1227 Preston Way, Venice, CA", 5 ba ,5 bds ,"$5,176,000",," 5,700 sqft",House For Sale
58,"7309 Franklin Ave APT 303, Los Angeles, CA", 2 ba ,2 bds ,"$599,000",," 1,298 sqft",Condo For Sale
59,"3932 Evadale Dr, Los Angeles, CA",,,"$150,000",,,Lot/Land For Sale
60,"613 N Gardner St, Los Angeles, CA", 3 ba ,4 bds ,"$1,899,000",," 3,127 sqft",House For Sale
61,"900 W Olympic Blvd UNIT 41E, Los Angeles, CA", 2 ba ,,"$1,275,000",," 1,120 sqft",Condo For Sale
62,"18217 Welby Way, Reseda, CA", 3 ba ,5 bds ,"$574,999",," 1,956 sqft",House For Sale
63,"12407 Moorpark St APT 201, Studio City, CA", 3 ba ,2 bds ,"$585,000",," 1,332 sqft",Condo For Sale
64,"2055 Stradella Rd, Los Angeles, CA", 7 ba ,6 bds ,"$5,750,000",," 6,513 sqft",House For Sale
65,"7547 Woodrow Wilson Dr, Los Angeles, CA", 3 ba ,4 bds ,"$2,245,000",," 2,510 sqft",House For Sale
66,"815 S Highland Ave, Los Angeles, CA", 3 ba ,4 bds ,"$1,500,000",," 2,210 sqft",House For Sale
67,"7701 Henefer Ave, Los Angeles, CA", 2 ba ,3 bds ,"$1,325,000",," 1,973 sqft",House For Sale
68,"11661 Picturesque Dr, Studio City, CA", 3 ba ,3 bds ,"$1,449,999",," 2,436 sqft",House For Sale
69,"10416 W Sunset Blvd, Los Angeles, CA", 5 ba ,5 bds ,"$4,850,000",," 4,797 sqft",House For Sale
70,"6145 Whitsett Ave APT 6, North Hollywood, CA", 3 ba ,3 bds ,"$449,999",," 1,393 sqft",Condo For Sale
71,"2959 N Beverly Glen Cir, Los Angeles, CA", 7 ba ,5 bds ,"$3,849,000",," 5,903 sqft",House For Sale
72,"1610 Camden Ave APT 101, Los Angeles, CA", 4 ba ,3 bds ,"$1,372,000",," 2,575 sqft",Condo For Sale
73,"117 S Doheny Dr APT 414, Los Angeles, CA", 1 ba ,,"$564,900",, 755 sqft,Condo For Sale
74,"11431 Clover Ave, Los Angeles, CA", 4 ba ,3 bds ,"$1,948,000",," 2,008 sqft",House For Sale
75,"4411 Roma Ct, Marina Del Rey, CA", 4 ba ,3 bds ,"$4,688,000",," 3,861 sqft",House For Sale
76,"20900 Germain St, Chatsworth, CA", 3 ba ,5 bds ,"$865,000",," 2,984 sqft",House For Sale
77,"4342 Redwood Ave # C203, Marina Del Rey, CA", 2 ba ,2 bds ,"$1,049,000",," 1,985 sqft",For Sale by Owner
78,"6424 Pollard St, Los Angeles, CA", 3 ba ,5 bds ,"$1,349,000",," 3,600 sqft",House For Sale
79,"100 S Alameda St UNIT 413, Los Angeles, CA", 1 ba ,,"$599,000",, 870 sqft,Condo For Sale
80,"3708 Division St, Los Angeles, CA", 2 ba ,3 bds ,"$939,000",," 2,500 sqft",House For Sale
81,"14330 Mulholland Dr, Los Angeles, CA", 5 ba ,5 bds ,"$3,150,000",," 4,562 sqft",House For Sale
82,"41 Sunset Ave UNIT 302, Venice, CA", 2 ba ,2 bds ,"$1,479,000",," 1,243 sqft",Condo For Sale
83,"3489 Mandeville Canyon Rd, Los Angeles, CA", 3 ba ,3 bds ,"$1,799,000",," 2,825 sqft",House For Sale
84,"6520 Fountain Ave, Los Angeles, CA", 3 ba ,2 bds ,"$1,038,000",," 1,610 sqft",House For Sale
85,"1100 Wilshire Blvd APT 2803, Los Angeles, CA", 1 ba ,,"$599,000",, 750 sqft,Condo For Sale
86,"1319 Stonewood Ct, San Pedro, CA", 3 ba ,3 bds ,"$515,000",," 1,328 sqft",Townhouse For Sale
87,"4855 Nomad Dr, Woodland Hills, CA", 4 ba ,4 bds ,"$1,249,000",," 3,193 sqft",House For Sale
88,"5430 Bellingham Ave UNIT 307, Valley Village, CA", 3 ba ,3 bds ,"$629,950",," 1,970 sqft",Condo For Sale
89,"4148 Mammoth Ave, Sherman Oaks, CA", 5 ba ,4 bds ,"$1,649,900",," 2,961 sqft",House For Sale
90,"2825 S Pacific Ave, San Pedro, CA", 2 ba ,3 bds ,"$595,000",," 1,768 sqft",House For Sale
91,"108 W 2nd St APT 802, Los Angeles, CA", 1 ba ,,"$625,000",," 1,040 sqft",Condo For Sale
92,"9528 Dalegrove Dr, Beverly Hills, CA", 6 ba ,4 bds ,"$3,950,000",," 4,456 sqft",House For Sale
93,"22330 Victory Blvd APT 1006, Woodland Hills, CA", 2 ba ,2 bds ,"$419,000",," 1,057 sqft",Condo For Sale
94,"4820 Seldner Ave, Los Angeles, CA", 4 ba ,6 bds ,"$689,000",," 3,056 sqft",House For Sale
95,"5953 Nora Lynn Dr, Woodland Hills, CA", 5 ba ,5 bds ,"$1,699,000",," 5,648 sqft",House For Sale
96,"308 Grand Blvd, Venice, CA", 4 ba ,4 bds ,"$3,350,000",," 3,210 sqft",House For Sale
97,"1050 S Grand Ave UNIT 1909, Los Angeles, CA", 2 ba ,2 bds ,"$1,284,000",," 1,371 sqft",New Construction
98,"17162 Parthenia St, Sherwood Forest, CA", 3 ba ,4 bds ,"$819,900",," 2,278 sqft",House For Sale
99,"7217 La Presa Dr, Los Angeles, CA", 4 ba ,3 bds ,"$2,999,990",," 3,160 sqft",House For Sale
100,"10790 Wilshire Blvd PH 2, Los Angeles, CA", 3 ba ,2 bds ,"$1,849,000",," 2,283 sqft",Condo For Sale
101,"7800 Henefer Ave, Los Angeles, CA", 5 ba ,6 bds ,"$2,350,000",," 4,640 sqft",House For Sale
102,"15193 Encanto Dr, Sherman Oaks, CA", 3 ba ,3 bds ,"$1,365,000",," 2,139 sqft",House For Sale
103,"20802 Daosta Way, Northridge, CA", 3 ba ,5 bds ,"$1,029,000",," 2,917 sqft",House For Sale
104,"3464 Tilden Ave, Los Angeles, CA", 5 ba ,4 bds ,"$1,799,000",," 3,433 sqft",House For Sale
105,"13650 Marina Pointe Dr UNIT 1206, Marina Del Rey, CA", 2 ba ,2 bds ,"$1,049,000",," 1,533 sqft",Condo For Sale
106,"2686 Woodstock Rd, Los Angeles, CA", 3 ba ,3 bds ,"$2,520,000",," 3,530 sqft",House For Sale
107,"2524 11th Ave, Los Angeles, CA", 3 ba ,4 bds ,"$925,999",," 2,809 sqft",House For Sale
108,"3822 S Cloverdale Ave, Los Angeles, CA", 3 ba ,5 bds ,"$1,167,000",," 3,213 sqft",House For Sale
109,"21500 Califa St UNIT 152, Woodland Hills, CA", 2 ba ,3 bds ,"$532,000",," 1,455 sqft",Townhouse For Sale
110,"16251 Londelius St, North Hills, CA", 3 ba ,3 bds ,"$599,999",," 1,580 sqft",House For Sale
111,"17549 Bullock St, Encino, CA", 1 ba ,3 bds ,"$680,000",," 1,495 sqft",House For Sale
112,"2552 Benedict Canyon Dr, Beverly Hills, CA", 3 ba ,3 bds ,"$3,750,000",," 3,300 sqft",House For Sale
113,"801 S Grand Ave APT 1812, Los Angeles, CA", 2 ba ,2 bds ,"$799,000",," 1,200 sqft",Condo For Sale
114,"5330 Zelzah Ave APT 15, Encino, CA", 2 ba ,3 bds ,"$454,900",," 1,303 sqft",Condo For Sale
115,"3961 Sunswept Dr, Studio City, CA", 4 ba ,4 bds ,"$2,595,000",," 5,660 sqft",House For Sale
116,"6241 Crescent Park W UNIT 413, Los Angeles, CA", 2 ba ,2 bds ,"$1,195,000",," 1,650 sqft",Condo For Sale
117,"900 W Olympic Blvd, Los Angeles, CA",,,"$1,195,000",,,Lot/Land For Sale
118,"10431 Northvale Rd, Los Angeles, CA", 3 ba ,4 bds ,"$1,389,000",," 2,597 sqft",House For Sale
119,"2531 Fairmount St, Los Angeles, CA", 2 ba ,6 bds ,"$750,000",," 3,274 sqft",House For Sale
120,"700 Main St UNIT 10, Venice, CA", 2 ba ,,"$1,749,000",," 1,750 sqft",Condo For Sale
121,"11580 La Maida St, North Hollywood, CA", 2 ba ,3 bds ,"$1,089,000",," 1,941 sqft",House For Sale
122,"8310 Rayford Dr, Los Angeles, CA", 2 ba ,3 bds ,"$1,049,000",," 1,363 sqft",House For Sale
123,"1015 Chantilly Rd, Los Angeles, CA", 5 ba ,4 bds ,"$3,150,000",," 4,148 sqft",House For Sale
124,"13650 Marina Pointe Dr UNIT 1906, Marina Del Rey, CA", 3 ba ,2 bds ,"$2,349,000",," 2,354 sqft",Condo For Sale
125,"4915 Placidia Ave, North Hollywood, CA", 3 ba ,4 bds ,"$1,399,000",," 2,868 sqft",House For Sale
126,"849 S Broadway APT 706, Los Angeles, CA", 1 ba ,,"$789,000",," 1,120 sqft",Condo For Sale
127,"10280 Maude Ave, Shadow Hills, CA",,,"$399,000",,,Lot/Land For Sale
128,"12065 Creekview Rd, Granada Hills, CA", 5 ba ,5 bds ,"$1,499,999",," 4,231 sqft",House For Sale
129,"901 Stone Canyon Rd, Los Angeles, CA", 5 ba ,6 bds ,"$10,900,000",," 3,550 sqft",House For Sale
130,"10561 Horse Creek Ave, Shadow Hills, CA", 4 ba ,4 bds ,"$999,000",," 3,801 sqft",House For Sale
131,"10029 Nevada Ave, Chatsworth, CA", 3 ba ,4 bds ,"$785,000",," 2,644 sqft",House For Sale
132,"7814 Willow Glen Rd, Los Angeles, CA", 5.5 ba ,6 bds ,"$2,699,000",," 5,307 sqft",House For Sale
133,"6510 Firebrand St, Los Angeles, CA", 2 ba ,3 bds ,"$1,289,000",," 1,965 sqft",House For Sale
134,"6248 W 85th Pl, Los Angeles, CA", 2 ba ,3 bds ,"$1,150,000",," 2,105 sqft",House For Sale
135,"8642 Gregory Way APT 201, Los Angeles, CA", 2 ba ,2 bds ,"$1,050,000",," 1,692 sqft",Condo For Sale
136,"5423 Shoup Ave, Woodland Hills, CA", 2 ba ,4 bds ,"$599,950",," 1,430 sqft",House For Sale
137,"4215 Glencoe Ave UNIT 414, Marina Del Rey, CA", 2 ba ,2 bds ,"$1,089,000",," 1,640 sqft",Condo For Sale
138,"6969 Woodrow Wilson Dr, Los Angeles, CA", 3 ba ,3 bds ,"$1,845,000",," 3,470 sqft",House For Sale
139,"1967 Redesdale Ave, Los Angeles, CA", 3 ba ,4 bds ,"$1,400,000",," 2,382 sqft",House For Sale
140,"4952 Placidia Ave, North Hollywood, CA", 4 ba ,6 bds ,"$1,299,000",," 2,859 sqft",House For Sale
141,"10446 Seabury Ln, Los Angeles, CA", 4 ba ,3 bds ,"$1,595,000",," 2,404 sqft",House For Sale
142,"4775 Haskell Ave, Encino, CA", 3 ba ,5 bds ,"$1,399,000",," 2,840 sqft",House For Sale
143,"13700 Marina Pointe Dr UNIT 1919, Marina Del Rey, CA", 2 ba ,,"$1,039,000",," 1,428 sqft",Condo For Sale
144,"1111 S Grand Ave PH 6, Los Angeles, CA", 2 ba ,,"$1,250,000",," 1,780 sqft",Condo For Sale
145,"900 W Olympic Blvd UNIT 33F, Los Angeles, CA", 2 ba ,,"$1,158,000",," 1,078 sqft",Condo For Sale
146,"5215 Vantage Ave, Valley Village, CA", 2 ba ,2 bds ,"$1,199,000",," 1,509 sqft",House For Sale
147,"10520 Wilshire Blvd APT 606, Los Angeles, CA", 3 ba ,3 bds ,"$1,149,000",," 2,071 sqft",Condo For Sale
148,"13834 Magnolia Blvd, Sherman Oaks, CA", 4 ba ,4 bds ,"$1,449,000",," 3,017 sqft",Coming Soon
149,"3819 Sunswept Dr, Studio City, CA", 3 ba ,3 bds ,"$1,395,000",," 2,394 sqft",House For Sale
150,"3819 Sunswept Dr, Studio City, CA", 3 ba ,3 bds ,"$1,395,000",," 2,394 sqft",House For Sale
151,"6480 Wynkoop St, Los Angeles, CA", 4 ba ,5 bds ,"$1,699,000",," 2,840 sqft",House For Sale
152,"5255 Zelzah Ave APT 118, Encino, CA", 3 ba ,2 bds ,"$659,000",," 2,027 sqft",Townhouse For Sale
153,"5206 Pacific Ave, Marina Del Rey, CA", 5 ba ,3 bds ,"$3,995,000",," 4,236 sqft",House For Sale
154,"10656 Lindamere Dr, Los Angeles, CA", 6 ba ,4 bds ,"$3,280,000",," 3,808 sqft",House For Sale
